City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Seoul,KR,2021-10-19 23:59:00,37.5683,126.9778,45.84,78,0,5.75
93,Vanimo,PG,2021-10-20 00:00:56,-2.6741,141.3028,84.63,69,98,3.44
94,Belle Fourche,US,2021-10-19 23:57:36,44.6714,-103.8522,39.85,91,100,11.81
95,Deputatskiy,RU,2021-10-20 00:00:57,69.3,139.9,-7.29,87,87,2.55
96,Ratnapura,LK,2021-10-20 00:00:57,6.6828,80.3992,74.39,96,90,1.25
97,Laguna,US,2021-10-20 00:00:58,38.421,-121.4238,70.61,37,1,3.0
98,Bay Roberts,CA,2021-10-20 00:00:58,47.5999,-53.2648,50.5,94,76,3.83
99,Dingle,PH,2021-10-20 00:00:59,10.9995,122.6711,81.21,83,100,3.04
100,Biaora,IN,2021-10-20 00:00:59,23.8667,76.9167,67.95,77,1,6.04
101,Naryan-Mar,RU,2021-10-20 00:01:00,67.6713,53.087,33.84,98,100,4.83
102,Thompson,CA,2021-10-20 00:01:00,55.7435,-97.8558,33.39,78,44,7.38
103,Bethel,US,2021-10-20 00:00:13,41.3712,-73.414,62.58,64,1,11.56
104,Lorengau,PG,2021-10-20 00:01:01,-2.0226,147.2712,86.05,64,90,8.1
105,Shimoda,JP,2021-10-20 00:01:02,34.6667,138.95,66.11,58,11,21.03
106,Ekhabi,RU,2021-10-20 00:01:03,53.5102,142.9671,32.47,73,55,6.58
107,Naldurg,IN,2021-10-20 00:01:03,17.8167,76.3,68.07,73,61,8.88
108,Bandarbeyla,SO,2021-10-20 00:01:04,9.4942,50.8122,76.37,86,93,8.16
109,Hilo,US,2021-10-20 00:00:10,19.7297,-155.09,79.25,82,71,1.99
110,Yellowknife,CA,2021-10-20 00:00:08,62.456,-114.3525,39.56,78,65,15.01
111,Mahebourg,MU,2021-10-20 00:01:06,-20.4081,57.7,70.25,74,40,8.88
112,Bubaque,GW,2021-10-20 00:01:06,11.2833,-15.8333,83.32,78,47,14.18
113,Saint-Raphael,HT,2021-10-20 00:01:07,19.4333,-72.2,73.31,95,92,4.34
114,Changji,CN,2021-10-20 00:01:07,44.0167,87.3167,45.39,57,0,4.47
115,Fereydun Kenar,IR,2021-10-20 00:01:08,36.6864,52.5225,66.24,77,33,1.66
116,Victoria,HK,2021-10-19 23:57:12,22.2855,114.1577,81.25,80,99,1.01
117,East London,ZA,2021-10-19 23:56:22,-33.0153,27.9116,56.95,75,0,10.16
118,Kruisfontein,ZA,2021-10-20 00:01:09,-34.0033,24.7314,52.88,89,0,6.17
119,Skjervoy,NO,2021-10-20 00:01:09,70.0311,20.9714,32.29,66,61,17.76
120,Acapulco,MX,2021-10-19 23:58:33,16.8634,-99.8901,81.43,81,74,2.33
