City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather
144,Porto Santo,PT,33.072,-16.3415,74.3,53,20,13.8,few clouds
145,Nikolskoye,RU,59.7035,30.7861,39.09,95,100,9.46,overcast clouds
146,Soyo,AO,-6.1349,12.3689,81.28,73,76,11.07,broken clouds
147,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,68,11.05,broken clouds
148,Namibe,AO,-15.1961,12.1522,73.62,53,49,16.4,scattered clouds
149,Touros,BR,-5.1989,-35.4608,88.7,54,51,13.53,broken clouds
150,La Ronge,CA,55.1001,-105.2842,33.1,82,16,14.72,few clouds
151,Nazca,PE,-14.8333,-74.95,76.01,38,4,6.93,clear sky
152,Puerto Carreno,CO,6.189,-67.4859,87.96,60,56,8.48,broken clouds
153,Casambalangan,PH,18.3765,122.1274,79.32,85,84,8.52,broken clouds
154,Tambo,PE,-14.8,-73.9167,52.41,24,7,8.63,clear sky
155,Jiuquan,CN,39.7432,98.5174,43.54,48,48,2.19,scattered clouds
156,Klyuchi,RU,52.2667,79.1667,45.21,65,98,19.8,overcast clouds
157,Margate,GB,51.3813,1.3862,56.03,64,84,1.01,broken clouds
158,Esperance,AU,-33.8667,121.9,53.47,70,0,17.72,clear sky
159,Sitka,US,57.0531,-135.33,48.09,71,90,13.8,light rain
160,Mar Del Plata,AR,-38.0023,-57.5575,64.42,65,75,5.99,broken clouds
161,Upata,VE,8.0086,-62.3989,81.19,64,86,8.25,overcast clouds
162,Iracoubo,GF,5.4802,-53.2011,83.16,79,99,7.85,heavy intensity rain
163,Severo-Kurilsk,RU,50.6789,156.125,37.04,75,30,6.55,scattered clouds
164,Sur,OM,22.5667,59.5289,82.65,60,0,2.95,clear sky
165,Qui Nhon,VN,13.7667,109.2333,75.29,95,100,12.24,moderate rain
166,Port Macquarie,AU,-31.4333,152.9167,65.89,100,21,5.75,few clouds
167,Sisimiut,GL,66.9395,-53.6735,22.55,90,100,12.91,light snow
168,Akyab,MM,20.15,92.9,79.11,77,97,4.97,overcast clouds
169,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,84.33,66,90,12.97,overcast clouds
170,Ugoofaaru,MV,5.6667,73.0,81.27,78,14,13.15,few clouds
171,Guerande,FR,47.3291,-2.4283,58.75,56,0,7.31,clear sky
172,Bani,DO,18.2833,-70.3333,86.76,59,14,9.91,few clouds
173,Kimbe,PG,-5.5502,150.1429,74.68,93,9,4.41,clear sky
174,Acarau,BR,-2.8856,-40.12,89.73,54,80,16.71,broken clouds
175,Ahipara,NZ,-35.1667,173.1667,60.87,98,100,3.38,light rain
176,Bud,US,39.447,-86.1758,52.83,84,42,5.08,scattered clouds
177,Yarega,RU,63.4354,53.5765,29.03,90,98,6.91,overcast clouds
178,Iskateley,RU,67.6803,53.1512,27.43,83,43,12.71,scattered clouds
179,Pangnirtung,CA,66.1451,-65.7125,30.2,86,90,10.36,light snow
180,Felipe Carrillo Puerto,MX,19.5833,-88.05,83.88,71,100,2.84,overcast clouds
181,Sabla,NG,12.7525,4.7077,93.72,32,100,10.29,overcast clouds
182,Gumdag,TM,39.2061,54.5906,62.22,14,0,17.65,clear sky
183,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,87,75,8.05,broken clouds
184,Bathsheba,BB,13.2167,-59.5167,88.41,62,40,23.02,scattered clouds
185,Sao Filipe,CV,14.8961,-24.4956,80.91,65,0,5.73,clear sky
186,Blackwater,AU,-23.5833,148.8833,76.3,72,98,8.21,overcast clouds
187,Bandarbeyla,SO,9.4942,50.8122,78.82,74,12,11.68,few clouds
188,Brookings,US,44.3114,-96.7984,40.44,81,1,9.22,clear sky
189,Basirpur,PK,30.5832,73.829,67.86,84,33,18.16,scattered clouds
190,Palmer,US,42.1584,-72.3287,54.72,67,75,1.99,broken clouds
191,Bengkulu,ID,-3.8004,102.2655,77.02,89,77,3.91,broken clouds
