City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
101,Touros,BR,88.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
102,Nazca,PE,76.01,clear sky,-14.8333,-74.95,Casa Andina Standard Nasca
103,Puerto Carreno,CO,87.96,broken clouds,6.189,-67.4859,Casa Hotel Victoria
104,Casambalangan,PH,79.32,broken clouds,18.3765,122.1274,Villa Saturnina
106,Margate,GB,56.03,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
107,Esperance,AU,53.47,clear sky,-33.8667,121.9,Hospitality Esperance
108,Mar Del Plata,AR,64.42,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
109,Upata,VE,81.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
110,Iracoubo,GF,83.16,heavy intensity rain,5.4802,-53.2011,Le Gîte d’Iracoubo
111,Sur,OM,82.65,clear sky,22.5667,59.5289,Sur Plaza Hotel
112,Qui Nhon,VN,75.29,moderate rain,13.7667,109.2333,Hoang Yen Canary Hotel
113,Port Macquarie,AU,65.89,few clouds,-31.4333,152.9167,Rydges Port Macquarie
114,Akyab,MM,79.11,overcast clouds,20.15,92.9,Hotel Memory
115,Sao Jose Da Coroa Grande,BR,84.33,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
116,Ugoofaaru,MV,81.27,few clouds,5.6667,73.0,Ungoofaaru Inn
117,Guerande,FR,58.75,clear sky,47.3291,-2.4283,Best Western Hôtel de la Cité
118,Bani,DO,86.76,few clouds,18.2833,-70.3333,Hospedaje Henriquez
119,Kimbe,PG,74.68,clear sky,-5.5502,150.1429,Kimbe Bay Hotel
120,Acarau,BR,89.73,broken clouds,-2.8856,-40.12,castelo pizzaria
121,Ahipara,NZ,60.87,light rain,-35.1667,173.1667,Ahipara Holiday Park
122,Bud,US,52.83,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
123,Felipe Carrillo Puerto,MX,83.88,overcast clouds,19.5833,-88.05,Hotel La Ceiba
126,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
127,Sao Filipe,CV,80.91,clear sky,14.8961,-24.4956,Hotel Xaguate
128,Blackwater,AU,76.3,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
129,Bandarbeyla,SO,78.82,few clouds,9.4942,50.8122,JABIR HOTEL
130,Basirpur,PK,67.86,scattered clouds,30.5832,73.829,Lugoo goods
131,Palmer,US,54.72,broken clouds,42.1584,-72.3287,Wedgewood Motel
132,Bengkulu,ID,77.02,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
133,Saint Albans,GB,56.39,overcast clouds,51.75,-0.3333,Quality Hotel St. Albans
134,Kalangala,UG,75.11,broken clouds,-0.3089,32.225,Ssese Habitat Resort
135,Faanui,PF,76.96,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
136,Hobyo,SO,80.64,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
137,Kantunilkin,MX,85.95,overcast clouds,21.0917,-87.45,Posada Paraiso
138,Epe,NG,76.89,light rain,6.5841,3.9834,MAGVILLE HOTEL
139,Te Anau,NZ,50.43,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
140,Brejo,BR,96.46,overcast clouds,-3.6844,-42.7503,Hotel Santa Luzia
141,Beberibe,BR,91.17,broken clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
143,Nouakchott,MR,98.53,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
144,Bambous Virieux,MU,76.21,few clouds,-20.3428,57.7575,Casa Tia Villa
145,Rantepao,ID,65.07,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
146,Talara,PE,69.49,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
147,Ozuluama,MX,74.66,overcast clouds,21.6667,-97.85,Hotel Posada De La Roma
148,San Rafael,AR,65.7,few clouds,-34.6177,-68.3301,Hotel San Rafael
150,Sinnamary,GF,82.42,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
152,Benguela,AO,79.18,broken clouds,-12.5763,13.4055,Hotel Praia Morena
153,Telemaco Borba,BR,78.03,overcast clouds,-24.3239,-50.6156,Vespasiano Hotel Telêmaco Borba
154,Gushikawa,JP,72.63,overcast clouds,26.3544,127.8686,Kirari Guest House
155,Ajdabiya,LY,85.14,broken clouds,30.7554,20.2263,Almadina Hotel
156,Tharad,IN,80.13,clear sky,24.3961,71.6267,Shree Nandan Couriyar Service
157,Riyadh,SA,87.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
158,Hithadhoo,MV,82.11,overcast clouds,-0.6,73.0833,Scoop Guest House
159,Puerto Escondido,MX,74.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
160,Ubatuba,BR,78.96,clear sky,-23.4339,-45.0711,Hotel Coquille
161,Tual,ID,83.93,broken clouds,-5.6667,132.75,Grand Vilia Hotel
162,Cockburn Town,TC,83.34,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
163,Renqiu,CN,51.13,clear sky,38.6989,116.0936,City Garden Renqiu Meishicheng Store
164,Sola,VU,81.0,few clouds,-13.8833,167.55,Leumerus Bungalows
165,Sao Joao Da Barra,BR,73.78,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
166,Dzilam Gonzalez,MX,76.03,overcast clouds,21.2833,-88.9333,posadas
167,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
168,Rabo De Peixe,PT,71.11,few clouds,37.8,-25.5833,Quinta das Giestas
169,Saldanha,ZA,61.14,few clouds,-33.0117,17.9442,Blue Bay Lodge
170,Nigran,ES,68.4,clear sky,42.1415,-8.8066,Parador de Baiona
172,Flinders,AU,67.17,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
173,Atbasar,KZ,51.28,scattered clouds,51.8,68.3333,Гостиничный Комплекс Saad
175,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,Airbnb rooms
177,Coihueco,CL,56.14,broken clouds,-36.6167,-71.8333,Frutillares Coihueco
178,San Patricio,US,78.64,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
179,Lasa,IT,61.54,clear sky,46.6166,10.7002,Pension Feldgärtenhof
180,Razvad,RO,65.26,overcast clouds,44.9333,25.5333,Guesthouse Vila Melisa
181,Carnarvon,AU,69.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
182,Shakawe,BW,95.32,broken clouds,-18.3667,21.85,Ditlhapi Guest House
184,Zhanaozen,KZ,57.56,clear sky,43.3,52.8,K.korabay 28A
185,Praia,CV,86.54,few clouds,14.9215,-23.5087,LT Aparthotel
186,Santiago,CL,60.85,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
187,Isahaya,JP,54.45,clear sky,32.8411,130.0431,Isahaya Green Hotel
188,Belo Oriente,BR,79.32,overcast clouds,-19.22,-42.4836,Hotel Dona Fia
189,Calabozo,VE,89.6,clear sky,8.9242,-67.4293,Hotel Giardini
190,Axim,GH,81.18,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
191,Xiantao,CN,57.07,scattered clouds,30.3833,113.4,City Convenient Chain Hotel
192,Terrell,US,75.78,overcast clouds,32.736,-96.2753,"Holiday Inn Express & Suites Terrell, an IHG Hotel"
193,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
194,Saint-Joseph,RE,77.38,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
195,Oistins,BB,83.57,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
196,Koraput,IN,67.62,few clouds,18.8167,82.7167,Raj Residency
197,Siirt,TR,63.03,clear sky,37.9326,41.9403,Barden Otel
198,Arnstadt,DE,51.89,broken clouds,50.8333,10.95,Hotelpark Stadtbrauerei Arnstadt
199,Mount Isa,AU,74.97,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
200,Forestville,US,62.46,broken clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
201,Dingle,PH,74.98,light rain,10.9995,122.6711,SEGAYA PROPERTY
203,Kavaratti,IN,82.17,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
204,Jiwani,PK,79.5,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
205,Presidencia Roque Saenz Pena,AR,76.8,scattered clouds,-26.7852,-60.4388,Hotel Aconcagua
206,Ziro,IN,51.13,scattered clouds,27.6333,93.8333,Ka-ngam homestay
207,Caravelas,BR,80.28,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
208,Tabou,CI,80.29,light rain,4.423,-7.3528,hotêl doufoulougou
209,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
210,Meadow Lake,US,64.69,few clouds,34.8014,-106.5436,TumbleWeed RV Park
211,Raymondville,US,79.95,scattered clouds,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
212,Hokitika,NZ,54.52,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
213,Tondi,IN,82.99,clear sky,9.7333,79.0167,Star Lodge
214,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
215,Sao Mateus Do Sul,BR,72.43,moderate rain,-25.8742,-50.3828,Hotel Dom Leopoldo
216,Redmond,US,52.38,overcast clouds,47.674,-122.1215,Seattle Marriott Redmond
217,Krynychky,UA,55.54,overcast clouds,48.3755,34.467,Kazanok
218,Jega,NG,92.57,overcast clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
219,Sao Joao Do Piaui,BR,91.98,moderate rain,-8.3581,-42.2467,Nayra Palace Hotel
220,Oktyabrskoye,RU,53.74,clear sky,43.0645,44.7417,Prolesok Mini-hotel
221,Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
222,Rawah,IQ,79.05,broken clouds,34.4816,41.9093,المملكة الراوية الهاشمية
223,Lata,PT,75.49,overcast clouds,40.1629,-8.3327,Casa Maquia
224,Macusani,PE,52.0,few clouds,-14.0833,-70.4333,"Hospedaje ""Arca de Noe"""
225,Cayenne,GF,86.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
226,Ambilobe,MG,80.49,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
227,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
229,Makakilo City,US,75.52,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
230,Puerto Baquerizo Moreno,EC,74.39,broken clouds,-0.9,-89.6,Hotel los Algarrobos
231,Ejea De Los Caballeros,ES,65.07,clear sky,42.1263,-1.1372,Hotel Ciudad De Ejea
232,Dixon,US,56.43,clear sky,38.4455,-121.8233,Best Western Plus Dixon Davis
233,Hamilton,US,55.65,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
234,Puerto Leguizamo,CO,79.16,overcast clouds,-0.1934,-74.7819,la casona de juancho
235,Charters Towers,AU,71.69,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
236,Tay Ninh,VN,76.44,very heavy rain,11.3,106.1,Thanh Tuyền Hotel
237,Pangkalanbuun,ID,75.51,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
238,Weener,DE,53.96,overcast clouds,53.1667,7.35,Ferienhof Renold Müller
239,Broken Hill,AU,54.86,clear sky,-31.95,141.4333,Royal Exchange Hotel
240,Bida,NG,83.88,broken clouds,9.0833,6.0167,Royal Suite
241,San Quintin,MX,62.38,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
242,Safaga,EG,80.22,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
243,Port Moresby,PG,75.74,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
246,Soledar,UA,51.98,light rain,48.6794,38.089,Soledar
247,Boz,FR,59.85,clear sky,46.4071,4.9109,Le Jardin De La Reyssouze
248,Labuhan,ID,81.16,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
249,Bondoukou,CI,83.46,light rain,8.0333,-2.8,Prestige Hotel
251,Cururupu,BR,90.55,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
252,Diffa,NE,98.13,few clouds,13.3154,12.6113,ProDAF/Diffa
253,Quatre Cocos,MU,76.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
254,Alyangula,AU,81.23,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
255,Catamarca,AR,81.05,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
257,Pisco,PE,64.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
258,Canavieiras,BR,77.36,light rain,-15.675,-38.9472,Bahiadomizil
259,Fare,PF,75.16,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
260,Shimoda,JP,53.1,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
261,Hendek,TR,62.92,clear sky,40.7994,30.7481,Hendek Ogretmenevi
263,Pyapon,MM,76.53,broken clouds,16.2833,95.6833,Aung Naing Thu Motel
264,Necochea,AR,68.04,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
265,Princeton,US,86.02,overcast clouds,25.5384,-80.4089,American Best Inn
266,Wajir,KE,91.72,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
267,Bani Walid,LY,89.91,overcast clouds,31.7566,13.9942,منزل الصابر أبوفانة
268,Kirakira,SB,78.64,few clouds,-10.4544,161.9205,SanBiz Lodge
269,Hammond,US,52.5,clear sky,41.5834,-87.5,"Residence Inn by Marriott Chicago Southeast/Hammond, IN"
270,Levelland,US,67.19,broken clouds,33.5873,-102.378,"Holiday Inn Express & Suites Levelland, an IHG Hotel"
271,Middelburg,ZA,86.76,clear sky,-25.7751,29.4648,Oregon Place Guest House
272,Sterling,US,62.28,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
273,Boca Raton,US,85.05,mist,26.3587,-80.0831,Ocean Lodge Florida
275,Wellington,NZ,56.66,overcast clouds,-41.2866,174.7756,CityLife Wellington
276,Hurricane,US,60.6,overcast clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
277,Abu Dhabi,AE,87.91,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
278,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
279,Pamplona,ES,66.11,clear sky,42.8169,-1.6432,Sercotel Hotel Leyre
280,Boma,GH,81.93,moderate rain,7.0805,-2.1697,Obaatanpa Hotel
281,Southbridge,US,57.31,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
282,George Town,MY,81.9,moderate rain,5.4112,100.3354,Cititel Penang
283,Tabas,IR,64.42,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
284,Radolfzell,DE,58.28,clear sky,47.7333,8.9667,Hotel Zur Schmiede
285,Lorengau,PG,80.89,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
287,Batemans Bay,AU,65.98,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
288,Araras,BR,90.63,clear sky,-22.3569,-47.3842,HOTEL MARQUES
289,Kadoma,JP,58.98,clear sky,34.7333,135.5833,Hotel Agora Osaka Moriguchi
290,Pergamino,AR,67.17,overcast clouds,-33.89,-60.5736,Hotel Fachinat
291,Nouadhibou,MR,69.6,clear sky,20.931,-17.0347,El Medina
292,Phan Thiet,VN,77.54,overcast clouds,10.9333,108.1,Hotel Saigon-PT
293,Sibolga,ID,78.46,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
294,Bull Savanna,JM,82.56,broken clouds,17.8868,-77.5902,Big Red's
295,Alghero,IT,73.49,clear sky,40.5589,8.3181,Villa Las Tronas Hotel & Spa
297,Beni Suef,EG,80.46,clear sky,29.0731,31.0979,Jewel Inn Beni Suef
298,Camana,PE,66.0,broken clouds,-16.6228,-72.7111,Hostal Morales
299,Kollam,IN,80.47,overcast clouds,8.8833,76.6,Nani Hotels and Resorts
300,Guerrero Negro,MX,66.69,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
301,Saint-Francois,FR,58.68,broken clouds,46.4154,3.9054,Manoir Du Bonheur
302,Itarema,BR,89.96,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
303,Gambela,ET,83.77,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
304,Dunedin,NZ,53.8,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
305,Wadi Maliz,TN,76.37,overcast clouds,36.4681,8.5495,HOPITAL
306,Wanning,CN,70.66,overcast clouds,18.8003,110.3967,Paradise Hotel
307,Jaque,PA,81.72,light rain,7.5175,-78.1703,Imbu Bua Lodge
308,Artyom,AZ,59.14,clear sky,40.4723,50.333,Merdan Respect
310,Dromolaxia,CY,78.46,few clouds,34.8761,33.586,Sea N Lake View Hotel Apartments
311,Llandrindod Wells,GB,53.29,overcast clouds,52.2416,-3.3787,Metropole Hotel and Spa
312,Montalvo,EC,80.02,overcast clouds,-1.8,-79.3333,Motel Los Laureles
313,Coihaique,CL,50.61,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
314,Boa Vista,BR,87.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
315,Roura,GF,85.96,broken clouds,4.7263,-52.3274,Amazonie Découverte SARL
316,Independence,US,53.71,broken clouds,39.0911,-94.4155,Higher Ground Hotel
317,Mozarlandia,BR,95.45,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
319,Ambon,ID,81.32,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
320,Naze,JP,67.46,broken clouds,28.3667,129.4833,オーベルジュ・アガルイ
322,Rock Sound,BS,80.15,overcast clouds,24.9,-76.2,Rock Sound Club
323,Montecristi,EC,73.22,overcast clouds,-1.05,-80.6667,Balcones del Cerro Hotel - Cabañas
324,Dicabisagan,PH,77.76,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
325,Sechura,PE,70.16,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
326,Sungaipenuh,ID,66.11,broken clouds,-2.0833,101.3833,penginapan citra alam
327,San Policarpo,PH,81.07,overcast clouds,12.1791,125.5072,Agapita M. Nicart
328,Townsville,AU,77.88,broken clouds,-19.25,146.8,Rydges Southbank Townsville
329,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
330,Zaplavnoye,RU,53.46,light rain,48.7048,45.0229,"Emerald, recreation"
331,Dhidhdhoo,MV,81.73,moderate rain,6.8833,73.1,Dhidhoo beach
332,Kahului,US,74.84,broken clouds,20.8947,-156.47,Maui Seaside Hotel
333,Perth,AU,61.66,clear sky,-31.9333,115.8333,Beatty Lodge
334,Chalus,IR,62.06,clear sky,36.655,51.4204,نظام مهندسي ساختمان چالوس
335,Grandola,PT,69.35,broken clouds,38.1772,-8.5668,Hotel Jorge Grand
